year,state_abbr,state_name, population , violent_crime , homicide , rape , robbery , aggravated_assault 
2017,NC,North Carolina,10270800,38043,622,1944,9884,25593
2017,ND,North Dakota,755176,2133,10,406,183,1534
2017,NE,Nebraska,1917575,5979,42,1191,1020,3726
2017,NH,New Hampshire,1349767,2642,13,619,441,1569
2017,NJ,New Jersey,8888543,20604,324,1505,7895,10880
2017,NM,New Mexico,2093395,16300,144,1244,3732,11180
2017,NV,Nevada,2972405,16663,266,1896,4841,9660
2017,NY,New York,19590719,70746,550,6297,20122,43777
2017,OH,Ohio,11664129,34621,741,5833,11224,16823
2017,OK,Oklahoma,3932640,17989,243,2220,3007,12519
2017,OR,Oregon,4146592,11629,105,1992,2474,7058
2017,PA,Pennsylvania,12790447,40030,742,4216,11777,23295
2017,RI,Rhode Island,1056486,2474,21,454,474,1525
2017,SC,South Carolina,5021219,25412,380,2576,3884,18572
2017,SD,South Dakota,873286,3753,27,575,264,2887
2017,TN,Tennessee,6708794,43940,538,3028,7867,32507
2017,TX,Texas,28322717,123984,1405,14536,32120,75923
2017,UT,Utah,3103118,7515,74,1758,1498,4185
2017,VA,Virginia,8465207,17811,470,3026,4331,9984
2017,VT,Vermont,624525,1082,17,254,100,711
2017,WA,Washington,7425432,22483,226,3300,5386,13571
2017,WI,Wisconsin,5792051,18638,192,2177,4370,11899
2017,WV,West Virginia,1817048,6564,98,793,673,5000
2017,WY,Wyoming,578934,1358,14,253,98,993
2018,AK,Alaska,735139,6555,47,1212,896,4400
2018,AL,Alabama,4887681,25567,383,2032,4047,19105
2018,AR,Arkansas,3009733,16904,222,2341,1593,12748
2018,AZ,Arizona,7158024,34053,383,3605,6509,23556
2018,CA,California,39461588,176604,1739,15506,54328,105031
2018,CO,Colorado,5691287,22851,215,4328,3781,14527
2018,CT,Connecticut,3571520,7485,86,873,2205,4321
2018,DC,District of Columbia,701547,6995,160,450,2415,3970
2018,DE,Delaware,965479,4079,46,334,861,2838
2018,FL,Florida,21244317,81980,1107,8438,16884,55551
2018,GA,Georgia,10511131,35619,647,2798,8499,23675
2018,HI,Hawaii,1420593,3622,40,709,951,1922
2018,IA,Iowa,3148618,8303,70,1126,989,6118
2018,ID,Idaho,1750536,4196,34,927,195,3040
2018,IL,Illinois,12723071,52343,902,6106,14251,31084
2018,IN,Indiana,6695497,25009,418,2486,5737,16368
2018,KS,Kansas,2911359,12861,122,1664,1420,9655
2018,KY,Kentucky,4461153,9719,250,1875,2469,5125
2018,LA,Louisiana,4659690,25314,533,2105,4600,18076
2018,MA,Massachusetts,6882635,23424,138,2465,4084,16737
2018,MD,Maryland,6035802,28330,491,1991,9716,16132
2018,ME,Maine,1339057,1500,23,447,228,802
2018,MI,Michigan,9984072,45176,555,7901,5638,31082
2018,MN,Minnesota,5606249,12403,107,2475,2946,6875
2018,MO,Missouri,6121623,30696,599,2935,5206,21956
2018,MS,Mississippi,2981020,7929,214,596,1700,5419
2018,MT,Montana,1060665,4040,37,569,270,3164
2018,NC,North Carolina,10381615,36980,574,2633,7573,26200
2018,ND,North Dakota,758080,2154,18,409,158,1569
2018,NE,Nebraska,1925614,5583,44,1290,736,3513
2018,NH,New Hampshire,1353465,2404,21,578,342,1463
2018,NJ,New Jersey,8886025,18536,285,1424,6364,10463
2018,NM,New Mexico,2092741,17637,153,1302,2646,13536
2018,NV,Nevada,3027341,16715,202,2329,3862,10322
2018,NY,New York,19530351,68512,562,6577,18191,43182
2018,OH,Ohio,11676341,34426,596,5852,9608,18370
2018,OK,Oklahoma,3940235,18701,215,2431,2805,13250
2018,OR,Oregon,4181886,12146,86,2114,2515,7431
2018,PA,Pennsylvania,12800922,39099,784,4490,9854,23971
2018,RI,Rhode Island,1058287,2326,16,494,453,1363
2018,SC,South Carolina,5084156,25463,411,2650,3592,18810
2018,SD,South Dakota,878698,3483,12,617,222,2632
